recruiter_relation_intimate_partner,recruiter_relation_friend,recruiter_relation_family,recruiter_relation_other,gni_per_capita
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,0.0,1.0,3810
0.0,0.0,1.0,0.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,1.0,0.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,1.0,0.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,0.0,1.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,1.0,0.0,1470
0.0,0.0,1.0,0.0,1470
0.0,0.0,0.0,1.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,1.0,0.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,0.0,1.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,0.0,1.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,0.0,0.0,1.0,1470
0.0,0.0,0.0,1.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,0.0,0.0,1.0,1470
0.0,1.0,0.0,0.0,1470
0.0,1.0,0.0,0.0,1470
0.0,0.0,0.0,1.0,1470
0.0,1.0,0.0,0.0,4060
0.0,1.0,0.0,0.0,4060
0.0,0.0,0.0,1.0,4060
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,0.0,0.0,1.0,3910
0.0,1.0,0.0,0.0,4260
0.0,0.0,0.0,1.0,4260
0.0,1.0,0.0,0.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,1.0,0.0,0.0,4260
0.0,0.0,0.0,1.0,4260
0.0,1.0,0.0,0.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,1.0,0.0,0.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,1.0,0.0,0.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,1.0,0.0,0.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,1.0,0.0,0.0,4260
0.0,0.0,0.0,1.0,4260
0.0,1.0,0.0,0.0,4260
0.0,0.0,0.0,1.0,4260
0.0,1.0,0.0,0.0,4260
0.0,1.0,0.0,0.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,1.0,0.0,0.0,4260
0.0,1.0,0.0,0.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,1.0,0.0,0.0,4260
0.0,1.0,0.0,0.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,1.0,0.0,0.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,1.0,0.0,0.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,1.0,0.0,0.0,4260
0.0,1.0,0.0,0.0,4260
0.0,1.0,0.0,0.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,1.0,0.0,0.0,1110
0.0,0.0,0.0,1.0,1110
0.0,1.0,0.0,0.0,1110
0.0,0.0,0.0,1.0,1110
0.0,1.0,0.0,0.0,1110
0.0,1.0,0.0,0.0,1110
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,1.0,0.0,0.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,1.0,0.0,0.0,4260
0.0,1.0,0.0,0.0,4260
0.0,0.0,0.0,1.0,4260
0.0,1.0,0.0,0.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,1.0,0.0,0.0,1110
0.0,1.0,0.0,0.0,1110
0.0,0.0,0.0,1.0,1110
0.0,1.0,0.0,0.0,1110
0.0,1.0,0.0,0.0,1110
0.0,1.0,0.0,0.0,1110
0.0,1.0,0.0,0.0,1110
0.0,1.0,0.0,0.0,1110
0.0,1.0,0.0,0.0,1110
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
0.0,1.0,0.0,0.0,4260
0.0,0.0,0.0,1.0,4260
0.0,0.0,0.0,1.0,4260
