majority_entry,population
Minor,2060000
Minor,2060000
Minor,2060000
Minor,2060000
Minor,2060000
Minor,2060000
Minor,2060000
Minor,2060000
Minor,2060000
Minor,2060000
Minor,2060000
Minor,2060000
Minor,2060000
Minor,2060000
Minor,2060000
Minor,2060000
Minor,2060000
Minor,2060000
Minor,2060000
Minor,2060000
Minor,2060000
Minor,2060000
Minor,2060000
Minor,2060000
Minor,2060000
Minor,7900000
Minor,7900000
Minor,7900000
Minor,7900000
Minor,7900000
Minor,7900000
Minor,7900000
Minor,7900000
Minor,7900000
Minor,7900000
Minor,7900000
Minor,7900000
Minor,7900000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,3030000
Minor,3030000
Minor,3030000
Minor,3030000
Minor,3030000
Minor,3030000
Minor,3030000
Minor,3030000
Minor,3030000
Minor,3030000
Minor,3030000
Minor,7820000
Minor,7820000
Minor,7820000
Minor,7820000
Minor,7820000
Minor,7820000
Minor,7820000
Minor,7820000
Minor,7820000
Minor,7820000
Minor,7820000
Minor,7820000
Minor,7820000
Minor,7820000
Minor,7820000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,144000000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
Minor,22500000
