country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.0,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,39000000.0,40100000.0
Albania,3120000.0,3090000.0,3060000.0,3030000.0,3000000.0,2980000.0,2950000.0,2930000.0,2910000.0,2900000.0,2890000.0,2890000.0,2880000.0,2880000.0,2880000.0,2880000.0,2880000.0,2870000.0,2870000.0,2850000.0
United Arab Emirates,3630000.0,3810000.0,3990000.0,4280000.0,4900000.0,5870000.0,6990000.0,7990000.0,8480000.0,8580000.0,8660000.0,8750000.0,8840000.0,8920000.0,8990000.0,9070000.0,9140000.0,9210000.0,9290000.0,9370000.0
Argentina,37900000.0,38300000.0,38700000.0,39100000.0,39500000.0,39900000.0,40300000.0,40700000.0,41100000.0,41500000.0,42000000.0,42400000.0,42800000.0,43300000.0,43700000.0,44100000.0,44400000.0,44700000.0,45000000.0,45300000.0
Austria,8080000.0,8120000.0,8170000.0,8230000.0,8270000.0,8290000.0,8320000.0,8340000.0,8360000.0,8390000.0,8430000.0,8480000.0,8550000.0,8640000.0,8740000.0,8800000.0,8840000.0,8880000.0,8910000.0,8920000.0
Burundi,6650000.0,6860000.0,7120000.0,7390000.0,7660000.0,7940000.0,8280000.0,8710000.0,9130000.0,9460000.0,9800000.0,10100000.0,10500000.0,10700000.0,10900000.0,11200000.0,11500000.0,11900000.0,12200000.0,12600000.0
Bangladesh,134000000.0,137000000.0,139000000.0,141000000.0,143000000.0,144000000.0,145000000.0,147000000.0,148000000.0,150000000.0,152000000.0,154000000.0,156000000.0,158000000.0,160000000.0,162000000.0,164000000.0,166000000.0,167000000.0,169000000.0
Bulgaria,7970000.0,7920000.0,7870000.0,7820000.0,7770000.0,7720000.0,7670000.0,7630000.0,7590000.0,7540000.0,7490000.0,7430000.0,7370000.0,7310000.0,7250000.0,7180000.0,7120000.0,7050000.0,6980000.0,6890000.0
Bahrain,748000.0,778000.0,833000.0,902000.0,971000.0,1040000.0,1110000.0,1180000.0,1210000.0,1210000.0,1220000.0,1260000.0,1310000.0,1360000.0,1410000.0,1460000.0,1490000.0,1490000.0,1480000.0,1460000.0
Bosnia and Herzegovina,4200000.0,4180000.0,4140000.0,4090000.0,4060000.0,4010000.0,3940000.0,3880000.0,3810000.0,3740000.0,3670000.0,3620000.0,3570000.0,3520000.0,3480000.0,3440000.0,3400000.0,3360000.0,3320000.0,3270000.0
Belarus,10100000.0,10100000.0,10000000.0,9940000.0,9870000.0,9830000.0,9790000.0,9760000.0,9730000.0,9710000.0,9690000.0,9690000.0,9690000.0,9700000.0,9710000.0,9710000.0,9700000.0,9670000.0,9630000.0,9580000.0
China,1280000000.0,1290000000.0,1300000000.0,1300000000.0,1310000000.0,1320000000.0,1330000000.0,1340000000.0,1350000000.0,1360000000.0,1370000000.0,1380000000.0,1390000000.0,1390000000.0,1400000000.0,1410000000.0,1420000000.0,1420000000.0,1420000000.0,1430000000.0
Côte d'Ivoire,17700000.0,18100000.0,18500000.0,19000000.0,19400000.0,19800000.0,20200000.0,20700000.0,21100000.0,21600000.0,22000000.0,22500000.0,23000000.0,23600000.0,24200000.0,24800000.0,25500000.0,26100000.0,26800000.0,27500000.0
Cyprus,982000.0,1000000.0,1020000.0,1040000.0,1060000.0,1070000.0,1090000.0,1110000.0,1130000.0,1150000.0,1160000.0,1170000.0,1180000.0,1190000.0,1200000.0,1210000.0,1220000.0,1230000.0,1240000.0,1240000.0
Czechia,10200000.0,10200000.0,10300000.0,10300000.0,10300000.0,10300000.0,10400000.0,10400000.0,10500000.0,10500000.0,10500000.0,10500000.0,10500000.0,10500000.0,10500000.0,10500000.0,10500000.0,10500000.0,10500000.0,10500000.0
Germany,81400000.0,81300000.0,81300000.0,81200000.0,81200000.0,81200000.0,81200000.0,81300000.0,81300000.0,81400000.0,81500000.0,81700000.0,81900000.0,82100000.0,82300000.0,82600000.0,82900000.0,83100000.0,83300000.0,83400000.0
Denmark,5380000.0,5400000.0,5420000.0,5440000.0,5460000.0,5480000.0,5500000.0,5530000.0,5550000.0,5580000.0,5600000.0,5630000.0,5650000.0,5680000.0,5710000.0,5740000.0,5770000.0,5800000.0,5830000.0,5850000.0
Ecuador,13100000.0,13300000.0,13500000.0,13800000.0,14000000.0,14300000.0,14500000.0,14700000.0,15000000.0,15200000.0,15500000.0,15700000.0,16000000.0,16200000.0,16400000.0,16700000.0,17000000.0,17300000.0,17600000.0,17800000.0
Egypt,74400000.0,76000000.0,77500000.0,79100000.0,80600000.0,82200000.0,83800000.0,85500000.0,87300000.0,89200000.0,91200000.0,93400000.0,95600000.0,97700000.0,99800000.0,102000000.0,104000000.0,106000000.0,107000000.0,109000000.0
Ethiopia,71100000.0,73200000.0,75300000.0,77500000.0,79700000.0,82000000.0,84400000.0,86800000.0,89200000.0,91800000.0,94500000.0,97100000.0,99700000.0,102000000.0,105000000.0,108000000.0,111000000.0,114000000.0,117000000.0,120000000.0
France,59400000.0,59700000.0,60100000.0,60500000.0,60900000.0,61300000.0,61700000.0,62100000.0,62400000.0,62800000.0,63100000.0,63300000.0,63600000.0,63800000.0,64000000.0,64100000.0,64300000.0,64400000.0,64500000.0,64500000.0
Gabon,1340000.0,1380000.0,1420000.0,1460000.0,1500000.0,1550000.0,1600000.0,1650000.0,1710000.0,1770000.0,1840000.0,1900000.0,1970000.0,2030000.0,2090000.0,2140000.0,2190000.0,2240000.0,2290000.0,2340000.0
Ghana,20800000.0,21300000.0,21900000.0,22500000.0,23100000.0,23700000.0,24300000.0,25000000.0,25600000.0,26200000.0,26900000.0,27500000.0,28200000.0,28900000.0,29600000.0,30200000.0,30900000.0,31500000.0,32200000.0,32800000.0
Hong Kong,6850000.0,6890000.0,6920000.0,6940000.0,6960000.0,7000000.0,7050000.0,7090000.0,7130000.0,7180000.0,7230000.0,7300000.0,7350000.0,7400000.0,7440000.0,7460000.0,7480000.0,7500000.0,7500000.0,7490000.0
Haiti,8660000.0,8810000.0,8960000.0,9110000.0,9270000.0,9420000.0,9580000.0,9730000.0,9840000.0,9950000.0,10100000.0,10300000.0,10400000.0,10600000.0,10700000.0,10900000.0,11000000.0,11200000.0,11300000.0,11400000.0
Indonesia,220000000.0,223000000.0,226000000.0,229000000.0,232000000.0,235000000.0,238000000.0,241000000.0,244000000.0,247000000.0,250000000.0,253000000.0,256000000.0,259000000.0,262000000.0,264000000.0,267000000.0,270000000.0,272000000.0,274000000.0
